ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560,GSM494561,GSM494562,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494570,GSM494571,GSM494572,GSM494573,GSM494574,GSM494575,GSM494576,GSM494577,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494587,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494595,GSM494596,GSM494597,GSM494598,GSM494599,GSM494600,GSM494601,GSM494602,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494611,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494620,GSM494621,GSM494622,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494630,GSM494631,GSM494632,GSM494633,GSM494634,GSM494635,GSM494636,GSM494637,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494647,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494655,GSM494656,GSM494657,GSM494658,GSM494659,GSM494660,GSM494661,GSM494662,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494671,GSM494672,GSM494673,GSM494674,GSM494675,Mean_Expression,Variance
214387_x_at,9.74644,14.7563,11.088,14.222,11.0354,13.8964,8.79752,7.20455,12.2731,8.34316,8.78429,14.1206,14.2822,14.7563,12.0389,14.6815,12.9439,11.7233,7.85442,8.21349,11.1025,6.75283,14.7168,6.5218,13.2214,13.8877,6.8001,6.67411,13.9314,12.4456,8.69652,9.97709,13.9626,13.0297,13.8282,10.0214,13.5537,14.4075,14.2364,7.68365,8.3445,9.38362,7.13359,6.78394,8.08336,9.75915,9.9983,14.2364,14.0315,14.7988,14.3261,13.2295,13.2372,11.8201,7.44585,10.2291,8.5975,13.5775,10.2262,12.6345,14.8349,14.8349,14.5437,14.5074,14.8349,14.8349,14.5074,14.6542,14.8349,14.5238,14.7168,14.7988,14.7563,14.7168,14.8903,14.8903,14.8903,14.8349,14.7563,14.7988,14.7988,14.7988,14.7168,14.7563,14.7988,14.7988,14.5437,14.8903,14.8349,14.7988,14.7563,14.7563,14.7168,14.8903,14.6815,14.7563,14.7988,14.7988,14.6182,14.7988,14.564,9.51886,14.3867,14.7563,14.8903,14.7563,14.4593,14.7988,14.7563,14.8349,14.7988,14.8349,14.473,14.7168,14.1993,14.7563,14.5074,14.8903,14.8903,7.16381,12.877590416666667,7.228828569664529
205982_x_at,9.67513,14.7168,10.9075,14.1271,10.5891,13.9047,8.7508,7.36309,12.3245,7.87803,8.57068,14.0532,14.3069,14.8349,12.48,14.6542,12.7048,11.8559,8.10416,8.05477,11.3569,7.10652,14.7988,6.70617,13.1927,13.7418,6.9225,7.39539,13.9582,12.48,8.61523,10.1123,14.0044,12.9841,13.8646,9.84581,13.7683,14.5238,14.2147,7.58695,8.32028,9.13098,7.00473,7.21318,7.77432,9.57144,9.99457,14.242,13.8235,14.7563,14.3497,13.1248,13.0692,11.4043,7.27699,10.2201,8.38576,13.5577,10.0691,12.277,14.8903,14.7563,14.6542,14.3962,14.7563,14.7563,14.7563,14.6815,14.6815,14.4446,14.7988,14.8349,14.7988,14.7563,14.7988,14.8349,14.7563,14.8903,14.8349,14.8349,14.8903,14.8349,14.6815,14.8349,14.8349,14.7563,14.7563,14.7988,14.7988,14.8349,14.8349,14.8349,14.8349,14.8349,14.564,14.8349,14.8903,14.8349,14.7563,14.8349,14.6542,9.66559,14.5074,14.8349,14.7988,14.8349,14.473,14.8349,14.8349,14.7563,14.8349,14.7988,14.4593,14.7563,14.3758,14.7988,14.6815,14.8349,14.8349,7.56696,12.881061083333334,7.217896248692092
204475_at,11.8171,4.16709,5.37457,9.18648,8.11047,5.83829,10.4144,12.1217,9.23083,10.7694,6.85808,6.46548,8.56335,4.6402,12.3223,7.80118,11.768,10.393,11.7246,5.56854,7.1806,10.2577,4.29117,11.0979,7.07909,7.15916,7.52628,9.26899,9.81635,7.42244,7.14439,11.8171,9.93508,10.9391,11.0564,7.54651,5.15337,8.53258,10.6515,11.5097,7.30161,12.8898,12.6839,4.73705,9.38362,8.31384,6.77409,9.91811,4.4781,4.65882,6.17633,11.7871,4.28207,6.10735,10.0817,8.78526,5.19177,5.70907,5.78491,5.30488,4.17212,4.21342,3.96489,5.39691,4.58154,4.81536,11.4025,8.68232,6.18932,4.94247,3.91108,4.3519,5.02191,4.75172,5.28893,8.23111,3.96843,5.68789,6.89876,4.8038,4.51038,4.336,5.16641,4.03848,4.18917,4.18847,4.18863,4.31147,4.0005,4.21932,4.61447,4.35559,4.35532,4.06295,5.96249,4.03543,4.57273,9.07168,4.03262,4.59601,4.75223,3.95701,8.89623,4.22246,3.87933,4.17483,4.97038,7.93899,4.9925,4.62852,4.2078,4.25183,5.1295,7.57897,9.84609,4.06639,6.52586,5.74352,4.38357,8.10805,6.793403416666666,7.105226305657976
210081_at,9.0972,8.53862,8.87261,6.86471,8.06559,9.06647,6.26334,5.83801,7.72673,6.04104,6.38844,10.5254,10.5891,11.0408,7.01584,10.7309,7.16838,8.06265,5.78619,6.51008,5.02017,5.31649,9.08889,5.68416,7.9986,8.99112,5.7554,7.97258,8.46983,6.84735,6.36709,6.73268,6.4793,8.06462,6.29911,6.67424,9.31514,6.85067,10.4944,5.87404,6.76203,6.08672,5.90526,5.93991,6.29827,6.57818,7.60383,11.4947,9.32617,11.9958,10.482,9.32332,9.78617,9.5201,5.71317,7.59366,8.67935,7.84904,6.4414,7.98095,12.6199,12.7351,13.2913,9.93654,12.2672,12.0373,11.2833,11.0368,11.713,11.6043,12.563,12.0056,11.6332,12.1256,12.4852,11.8242,13.026,12.1441,12.5514,12.1003,12.4122,12.3356,12.1691,12.4056,11.7832,13.1697,13.4441,12.7645,11.8544,12.2582,11.8913,12.5514,12.1163,12.1424,11.4084,13.1495,13.4086,13.1891,12.5576,12.9043,11.905,7.82397,11.0807,13.2295,11.9748,12.7167,13.0616,12.5731,12.5144,11.3708,12.6656,13.1927,12.2851,12.999,12.368,12.693,12.6961,12.6656,12.925,6.0654,9.962941,7.087636112582184
226228_at,8.90901,12.5069,7.11238,10.6111,11.5396,11.1213,8.39665,3.68258,10.4029,6.69618,9.13098,11.991,10.7159,12.0073,6.68128,10.9531,9.76166,9.50028,3.57828,6.35359,7.39726,3.93922,10.2551,3.66569,11.9292,11.4872,3.71656,8.19594,10.1116,7.88596,3.72555,9.89423,8.01773,9.81013,8.0679,4.21603,12.1348,10.0172,11.5045,10.5891,3.80897,6.56236,6.63554,10.5631,7.95024,10.4417,11.0986,10.7297,10.5248,12.7141,12.2023,10.3353,12.443,11.1912,3.86878,9.87894,11.5024,12.21,9.26831,12.8826,12.3356,12.3551,12.0695,11.96,12.2563,11.6955,12.2064,10.9054,12.4122,12.4216,12.47,12.228,11.8214,12.228,12.5245,12.075,13.0367,12.4756,12.0818,12.32,12.6431,12.6085,12.7319,12.2874,12.4828,12.7022,12.741,12.2851,12.41,12.2459,12.6345,12.48,12.2521,12.1559,12.1366,12.4015,12.7738,12.6867,11.7719,12.6405,12.1128,7.94259,12.4674,12.7287,12.12,12.3308,12.8793,11.6926,12.3701,12.9723,12.4381,12.4556,12.0644,12.7081,10.9273,12.6895,12.5781,12.2221,12.7645,3.75518,10.601619,7.066617491941848
217428_s_at,8.0087,7.79494,11.8443,10.0287,10.598,7.96745,9.18717,10.5918,10.5479,11.286,11.4604,6.57552,9.46117,5.35264,9.86286,6.3292,6.00403,6.48351,10.3129,10.3667,8.194,10.4376,7.35055,12.2672,9.79412,8.09917,5.36556,11.0948,9.48876,8.74586,7.87968,9.64139,9.70597,11.3375,8.98927,6.60609,7.99348,9.68292,5.17591,10.5918,4.34744,9.34873,6.07346,10.267,10.6886,10.9981,9.88365,10.4812,10.4097,4.4232,8.31853,6.52167,5.98187,8.038,10.1472,10.9364,7.63176,5.7586,8.86352,9.09028,4.77466,4.34979,4.09829,3.96053,4.90732,5.43006,4.47343,4.168,4.01141,4.56266,5.45835,4.26852,6.55183,4.2678,4.11598,5.58607,3.93426,3.77849,4.28772,4.52117,3.75724,4.52911,4.92278,4.3799,4.15899,4.52972,4.27862,4.28689,4.5203,4.34951,4.55002,4.27269,4.39292,4.16727,4.45448,4.23282,5.57566,4.36581,4.14357,4.58261,4.32261,4.53706,4.43135,4.67464,4.24626,4.062,4.15009,4.55906,4.64393,4.91503,4.40423,4.40203,5.41843,5.08391,4.60774,4.45321,4.68802,5.02541,4.51341,4.12092,6.649425166666666,6.7154477096672
209613_s_at,10.1867,8.9046,11.8499,9.68347,6.21567,10.1674,4.75538,3.80609,8.73292,7.09272,11.0246,10.6098,10.2947,11.7587,10.7014,10.8723,9.75393,7.272,7.58061,8.38696,6.13409,4.28772,12.0407,6.12136,10.4185,10.5494,3.83011,4.28696,9.74095,9.54749,5.74603,6.7224,10.7618,8.48128,5.77,4.75075,11.551,10.1368,9.42843,4.01814,3.5785,5.33473,5.6249,11.7364,7.86093,10.9614,8.42109,10.0287,12.5457,12.4081,11.4229,11.1339,10.1398,11.218,6.1166,7.07593,8.79276,7.64887,8.28783,9.43191,12.3223,12.47,12.0267,12.1458,11.5432,12.0088,11.306,11.0126,11.3384,11.7496,12.1293,11.5258,12.2362,10.7714,11.9232,11.4536,12.4056,12.1559,12.7048,12.3095,12.8934,12.5043,12.6374,12.6597,12.1543,11.7666,11.9496,12.2731,12.8332,12.5457,12.2083,12.314,11.9008,11.8837,12.3095,12.614,12.7774,12.741,10.5274,12.0876,11.655,8.11641,12.0373,12.6454,11.9496,12.1786,11.8883,11.066,12.6839,12.4528,12.6681,11.948,11.5455,12.1765,10.528,12.0373,11.8631,11.6182,11.8458,8.06462,10.231923666666667,6.495468906638544
209470_s_at,5.79177,4.585,5.94073,7.98359,3.97243,8.37706,4.23061,4.06887,6.39162,5.40678,6.37842,7.1628,8.45329,9.46413,5.56118,6.04633,3.82269,6.2175,4.64267,4.91849,4.05243,4.68533,6.13572,4.45038,8.32509,5.57806,6.29757,5.78234,5.39259,4.75803,4.21456,5.0435,6.52997,5.1636,3.95105,4.07227,6.57876,4.82667,5.41274,4.06102,4.13842,3.8724,4.11174,5.38164,4.7644,5.83752,4.0555,8.75992,8.43909,9.96153,7.4203,6.68728,6.16354,6.36978,4.6895,4.20336,4.80481,6.37061,5.40709,4.33628,9.85382,10.8561,9.9983,10.2591,10.557,10.1009,8.81197,9.89938,9.69471,10.692,10.8567,9.55052,9.97643,9.1601,10.1178,9.18855,10.6795,10.2406,10.0447,10.0086,10.4174,9.79351,9.33937,10.4471,9.52491,10.136,10.4709,10.2377,10.484,10.6568,10.4396,10.862,10.6538,10.1862,9.44255,10.2373,10.4371,10.3602,9.35923,10.4025,6.96822,4.17233,8.69969,10.3213,10.6357,10.8515,10.4812,9.60198,10.6736,9.77938,10.7618,10.1332,9.74897,10.6801,9.35341,9.897,10.3018,10.265,10.6898,3.95693,7.77425175,6.400662572009517
219230_at,8.55476,8.51371,10.3705,7.35931,5.06571,7.90745,5.33672,7.05042,7.35459,6.65395,8.10573,9.30602,9.55579,11.8017,8.05546,7.35325,5.92878,6.49418,5.18306,5.26997,5.67736,6.56663,8.69792,5.18444,8.97188,8.94004,5.13181,4.90265,9.09872,7.67516,5.44484,4.99905,8.63708,8.77617,4.73724,8.75179,8.76108,6.4976,7.67696,6.31306,5.12291,7.53518,6.9464,8.97272,10.9384,7.42843,5.69889,9.30554,9.73632,11.9449,9.43217,9.06626,6.61596,9.24645,5.13598,5.63226,6.1489,7.2581,6.10455,7.98985,12.3966,11.6584,12.6022,11.5396,11.8087,12.0154,8.11338,10.4523,11.1179,12.699,10.556,10.6141,11.294,12.0006,10.6886,9.9558,12.2124,10.2364,11.6138,10.881,10.8484,12.0951,10.6141,10.624,12.1236,12.5866,12.6681,12.3701,11.2498,12.8622,13.1044,11.761,10.4412,12.4729,9.14193,12.5096,12.4648,11.1662,8.08403,12.1366,7.40573,4.74085,8.09917,11.8673,11.0038,12.7582,12.2002,10.0437,11.8329,11.6427,13.0067,12.3287,9.99426,12.3162,9.15943,10.8244,10.2342,10.2262,12.6199,4.76575,9.264781999999999,6.383835343937143
209612_s_at,10.1258,9.52439,12.051,10.0567,7.04865,10.5576,5.73009,4.37135,9.19881,7.41584,11.7928,10.5738,10.1959,12.32,10.5727,10.1455,8.6632,7.81383,8.17458,9.28994,6.41888,4.90187,11.9496,6.69868,10.4573,10.7751,4.33101,4.61429,9.72596,10.2591,6.43027,7.54904,11.2852,9.00914,6.58441,5.15506,12.1128,10.3099,9.73108,4.37981,4.10847,6.03624,6.42359,12.1181,8.90573,11.2445,9.04169,9.64897,12.699,12.9292,11.735,11.4947,10.2368,11.4197,6.52774,7.79507,9.08393,7.74693,8.27629,9.65733,13.0185,12.8898,12.5429,12.7258,12.1056,12.6085,11.4155,11.6021,11.6206,11.6464,12.4904,11.5725,12.4622,10.7708,12.2521,11.3135,12.301,12.6257,13.5111,13.0185,13.0185,12.1673,12.7774,12.9216,11.7965,12.6716,12.8655,12.1056,13.1369,13.0329,12.6511,12.8008,12.4242,12.9147,12.6749,13.2332,13.3289,13.2486,10.734,12.3399,11.7376,8.32998,12.0527,13.3135,12.7704,12.6053,12.1163,10.7089,12.9181,12.8687,13.026,12.614,11.9925,12.6895,11.033,12.8294,12.7582,12.7939,12.4556,8.37387,10.606291749999999,6.282917074441449
