ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560,GSM494561,GSM494562,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494570,GSM494571,GSM494572,GSM494573,GSM494574,GSM494575,GSM494576,GSM494577,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494587,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494595,GSM494596,GSM494597,GSM494598,GSM494599,GSM494600,GSM494601,GSM494602,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494611,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494620,GSM494621,GSM494622,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494630,GSM494631,GSM494632,GSM494633,GSM494634,GSM494635,GSM494636,GSM494637,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494647,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494655,GSM494656,GSM494657,GSM494658,GSM494659,GSM494660,GSM494661,GSM494662,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494671,GSM494672,GSM494673,GSM494674,GSM494675,Mean_Expression
1553569_at,14.5893,14.564,14.6542,14.5074,14.473,14.4193,14.5437,14.3497,14.2075,14.4075,14.6542,14.3672,14.4193,14.3962,14.3415,14.5074,14.564,14.4593,14.4193,14.564,14.3962,14.473,14.3261,14.25,14.2822,14.4446,14.7988,14.431,14.473,14.6182,14.6182,14.1134,14.3183,14.5437,14.4446,14.7168,14.6182,14.473,14.1993,14.7168,14.5437,14.5074,14.5238,14.6542,14.4593,14.5437,14.431,14.431,14.2822,14.3344,14.3867,14.2745,14.6542,14.431,14.5074,14.3261,14.4593,14.5074,14.7563,14.5238,14.3962,14.5238,14.4593,14.2914,14.2661,14.3069,14.2914,14.3183,14.2914,13.8603,14.431,14.148,14.3758,14.2147,14.2661,14.25,14.2914,14.3344,14.359,14.2298,14.2364,14.1408,14.1694,14.0365,13.8481,14.2914,14.3867,13.9005,14.0768,14.2661,14.2585,14.1694,14.2298,14.3344,14.2364,14.3672,14.4193,14.222,14.1009,14.2914,14.2661,14.148,14.3672,14.4593,14.3344,14.3069,14.3758,14.2661,14.3415,14.2661,14.473,14.2822,14.3672,14.431,14.473,14.2914,14.431,14.2988,14.3183,14.4193,14.375039166666665
212869_x_at,14.3415,14.3672,14.4896,14.3183,14.242,14.359,14.1134,14.0479,14.3962,14.5437,14.4446,14.3261,14.3415,14.3415,14.3672,14.4446,14.5074,14.3069,14.1548,14.1844,14.2914,14.222,14.2745,14.5074,14.431,14.3069,14.4593,14.2822,14.3069,14.3261,14.2585,14.4593,14.4446,14.3962,14.3867,14.3261,14.3672,14.1844,14.4896,14.431,14.1009,14.222,14.2147,14.2745,14.2147,14.431,14.2745,14.2822,14.3962,14.5074,14.3758,14.3497,14.2585,14.3183,14.3183,14.473,14.3867,14.3069,14.2822,14.2914,14.4446,14.4075,14.3867,14.2661,14.4896,14.5437,14.359,14.431,14.473,14.431,14.359,14.3758,14.5074,14.3962,14.3758,14.3497,14.4593,14.5238,14.3183,14.2988,14.5437,14.4593,14.3758,14.473,14.5074,14.4193,14.2988,14.4446,14.5238,14.3344,14.3672,14.3497,14.4593,14.4446,14.2822,14.2988,14.2988,14.3497,14.3344,14.4593,14.3261,14.2298,14.3344,14.4446,14.4446,14.4896,14.3069,14.4446,14.3962,14.5074,14.4075,14.4193,14.3183,14.3344,14.3497,14.359,14.4593,14.2745,14.3758,14.2988,14.365076666666669
1553567_s_at,14.6815,14.4896,14.8349,14.3962,14.431,14.2745,14.431,13.8446,14.1206,14.2988,14.5238,14.242,14.3867,14.3758,14.1694,14.5238,14.7168,14.3183,14.2822,14.4896,14.3183,14.4446,14.3867,14.4075,14.2661,14.3672,14.6815,14.0646,14.4193,14.5437,14.8349,14.1206,14.1628,14.3672,14.3962,14.6182,14.5437,14.4193,14.25,14.6542,14.0264,14.4193,14.3962,14.359,14.3069,14.8903,14.5238,14.3758,14.5893,14.3758,14.2585,14.4075,14.7988,14.6182,14.5238,14.3069,14.4896,14.5437,14.6815,14.473,14.3069,14.4896,14.4193,14.2298,14.2147,14.25,14.4446,14.1628,14.1694,13.9995,14.4446,14.0206,14.3497,13.9494,14.0206,14.4075,14.5074,14.1916,14.25,14.1993,14.3497,14.3867,14.2822,14.3415,13.7451,14.2745,14.2914,14.0044,14.3497,14.3415,14.2745,14.3261,14.1206,14.0702,14.4075,14.5074,14.359,14.5074,14.0206,14.431,14.3758,13.9537,14.359,14.4075,14.0095,14.5437,14.3962,14.3962,14.5238,14.3415,14.5074,14.431,14.3758,14.473,14.4446,14.1628,14.3672,14.0831,14.3962,14.3069,14.356126666666666
213867_x_at,14.2988,14.431,14.4593,14.359,14.4896,14.3672,14.4593,14.4193,14.4896,14.5074,14.473,14.2745,14.3758,14.2298,14.4193,14.2745,13.9626,14.5893,14.2075,14.3344,14.0365,14.4075,14.3183,14.564,14.5437,14.25,14.2914,14.3497,14.3261,14.5074,13.8194,14.2147,14.2585,14.5238,14.473,14.5074,14.3415,14.3867,14.3962,14.4896,14.3867,14.4896,14.4075,14.222,14.5074,14.5074,14.1844,14.359,14.25,14.2364,14.1206,14.3415,14.4193,14.0532,14.3867,14.3672,14.0422,14.4446,14.5238,14.5893,14.2914,14.3867,14.473,14.431,14.4446,14.4593,14.5893,14.6182,14.5074,14.2661,14.2364,14.3344,14.2822,14.3183,14.4193,14.2914,14.3069,14.3069,14.1628,14.4193,14.3069,14.359,14.1772,14.25,14.3758,14.2585,14.3344,14.359,14.1772,14.1916,14.1271,14.1844,14.25,14.5238,14.3962,14.5238,14.2914,14.3758,14.3672,14.2745,14.3962,14.3962,14.2914,14.4193,14.242,14.2914,14.4075,14.473,14.1628,14.25,14.222,14.4593,14.2988,14.3415,14.4593,14.2585,14.3183,14.3672,14.25,14.4896,14.34757
224594_x_at,14.3261,14.4446,14.473,14.3344,14.5074,14.3758,14.4446,14.359,14.5074,14.3261,14.4896,14.2585,14.3672,14.2585,14.4075,14.3183,14.0095,14.564,14.1844,14.3497,14.0768,14.3962,14.3672,14.5893,14.5074,14.242,14.2585,14.4075,14.359,14.473,13.8282,14.2298,14.2745,14.4896,14.431,14.4896,14.4075,14.431,14.3867,14.4593,14.2585,14.4593,14.359,14.2298,14.5238,14.5238,14.222,14.4075,14.242,14.242,14.1271,14.3183,14.3962,14.0595,14.3672,14.359,14.0532,14.431,14.5437,14.5437,14.3183,14.4193,14.5074,14.4446,14.5238,14.4193,14.6182,14.7168,14.5437,14.1844,14.2585,14.359,14.3344,14.2822,14.431,14.2988,14.25,14.2585,14.1548,14.359,14.4075,14.3672,14.1548,14.2585,14.3344,14.2661,14.3069,14.2822,14.1993,14.1993,14.1408,14.1772,14.2364,14.5074,14.3497,14.4896,14.2745,14.3867,14.2822,14.359,14.3867,14.2914,14.2822,14.473,14.25,14.2585,14.431,14.4896,14.1993,14.2585,14.2745,14.4446,14.25,14.3183,14.431,14.3069,14.2914,14.3415,14.242,14.5074,14.345548333333333
206559_x_at,14.2661,14.1331,14.3867,14.3069,14.3344,14.473,14.25,14.3867,14.431,14.473,14.359,14.222,14.2075,14.3183,14.431,14.25,14.1844,14.3344,14.2585,14.4075,14.4075,14.3261,14.473,14.5238,14.473,14.3867,14.2745,14.3867,14.242,14.4593,14.5893,14.3415,14.473,14.3344,14.2364,14.2075,14.3867,14.2298,14.2075,14.3415,13.5976,14.0768,14.3867,14.3497,14.25,14.3672,14.1206,14.1331,14.1628,14.4593,14.359,14.2661,14.431,14.3867,14.1694,14.2914,14.4193,14.3497,14.4193,14.4446,14.3415,14.3183,14.2822,14.3497,14.3415,14.431,14.4193,14.4446,14.4446,14.3069,14.3758,14.2914,14.4075,14.222,14.3497,14.4593,14.473,14.564,14.431,14.431,14.431,14.3415,14.3261,14.4193,14.3672,14.3497,14.25,14.3261,14.3867,14.3672,14.3867,14.3415,14.359,14.4593,14.3069,14.3415,14.3261,14.2585,14.0264,14.3069,14.2075,14.2661,14.2298,14.3758,14.3758,14.2661,14.2298,14.3758,14.242,14.3672,14.3415,14.3344,14.2914,14.2914,14.2988,14.4193,14.4446,14.4896,14.5238,14.359,14.335380000000002
212788_x_at,13.6256,14.2661,14.3497,13.9677,14.3962,14.2585,14.2988,14.6815,14.2988,14.3867,14.6815,14.5074,14.3183,14.3069,14.1628,14.2914,13.6553,14.2364,14.473,14.2822,14.1009,14.1844,14.1772,14.7563,14.4896,14.3183,13.9837,14.3962,14.3415,14.3415,13.7251,14.3497,14.431,14.0768,14.7563,14.0831,14.6542,14.2661,14.5074,14.473,14.1331,14.359,14.2988,14.1628,14.222,14.8349,14.4193,14.2988,14.4593,14.5437,14.2075,14.4896,14.4446,14.5074,14.3758,14.2745,14.2988,13.9222,14.2661,14.2298,14.2298,14.2822,14.3261,14.0479,14.3183,14.0365,14.3867,14.2822,14.6182,14.1628,14.4896,14.3415,14.6815,14.3497,14.4593,14.2661,14.2822,14.3497,14.3261,14.3344,14.242,14.3962,14.4193,14.3497,14.473,14.5238,14.2661,14.3867,14.2914,14.2364,14.222,14.2822,14.2988,14.2364,14.431,14.3867,14.4075,14.3344,14.359,14.4896,14.4446,14.2585,14.4193,14.3867,14.2298,14.431,14.3415,14.2914,14.2988,14.5893,14.4446,14.3183,14.4193,14.6182,14.3069,14.3183,14.3962,14.242,14.4896,14.431,14.332361666666666
212284_x_at,14.3867,14.3758,14.4193,14.2988,14.3261,14.3344,14.1068,14.0422,14.359,14.4446,14.4593,14.3183,14.2914,14.3344,14.3497,14.4593,14.5437,14.3261,14.0702,14.1694,14.2745,14.2298,14.2585,14.4593,14.4193,14.2585,14.4075,14.2914,14.3497,14.1694,14.0892,14.431,14.4193,14.431,14.3497,14.3344,14.2585,14.2075,14.473,14.3672,14.1134,14.2147,14.1628,14.242,14.1844,14.4446,14.2661,14.2661,14.4896,14.431,14.3069,14.359,14.1694,14.3069,14.2822,14.4446,14.3497,14.2914,14.2364,14.242,14.359,14.359,14.3672,14.2585,14.3497,14.3867,14.3497,14.4075,14.4075,14.3962,14.3261,14.3183,14.4896,14.3867,14.3415,14.359,14.4896,14.4193,14.1694,14.2585,14.5238,14.5893,14.3344,14.3344,14.4896,14.25,14.2745,14.4593,14.4446,14.2298,14.2822,14.3344,14.3672,14.431,14.2745,14.3497,14.1916,14.2745,14.3183,14.3497,14.3183,14.2745,14.3497,14.3672,14.431,14.3261,14.3183,14.5437,14.3183,14.4593,14.3867,14.3497,14.2661,14.3069,14.25,14.2745,14.3758,14.1206,14.2585,14.2822,14.329804999999999
224373_s_at,14.5238,14.5238,14.6182,14.3497,14.4075,14.3069,14.3962,13.8964,14.1134,14.2298,14.564,14.2914,14.359,14.3867,14.2914,14.6182,14.5893,14.2585,14.0892,14.2914,14.3497,14.3758,14.431,14.2914,14.2298,14.2298,14.6542,14.3415,14.431,14.3758,14.3672,14.1694,14.0422,14.3758,14.359,14.5893,14.4896,14.4446,14.359,14.6182,14.473,14.4075,14.3344,14.3344,14.3183,14.7168,14.4896,14.3962,14.4075,14.3183,14.3183,14.3962,14.5893,14.4075,14.473,14.2585,14.4446,14.4593,14.6182,14.3758,14.4193,14.473,14.4446,14.2147,14.1628,14.2822,14.3758,14.1548,14.2298,14.0702,14.3962,14.0951,14.431,14.1772,14.0951,14.3867,14.2988,14.2298,14.148,13.8023,14.3415,14.2988,14.2147,14.3069,13.7946,14.2364,14.3497,14.1548,14.222,14.1694,14.1993,14.222,14.1548,14.1548,14.2988,14.4593,14.25,14.359,14.0702,14.3758,14.3672,14.1916,14.3415,14.431,14.148,14.3962,14.3867,14.3183,14.4075,14.359,14.4593,14.473,14.3415,14.4446,14.4075,14.0768,14.3497,14.0206,14.1772,14.242,14.32521
208834_x_at,14.1331,14.2988,14.3069,14.2822,14.2988,14.4593,14.2914,14.473,14.3867,14.5238,14.3183,14.3758,14.2298,14.2914,14.3962,14.1548,14.1916,14.1844,14.1628,14.2585,14.3758,14.3069,14.2147,14.3183,14.3867,14.431,14.4193,14.4446,14.3672,14.1844,14.5437,14.3867,14.5074,14.2585,14.1694,14.0422,14.359,14.1993,14.3261,14.2745,14.3497,14.3069,14.2585,14.3672,14.359,14.3497,14.3672,14.1993,14.2298,14.3867,14.25,14.2585,14.3867,14.2298,14.242,14.2822,14.2298,14.2298,14.2585,14.3415,14.25,14.2988,14.1628,14.3415,14.431,14.3962,14.3069,14.3497,14.3415,14.4193,14.2298,14.25,14.2914,14.25,14.5074,14.2585,14.3758,14.4446,14.3758,14.4075,14.4193,14.4896,14.3497,14.4075,14.4446,14.3672,14.2075,14.4075,14.431,14.4075,14.3758,14.2745,14.5074,14.3672,14.1772,14.242,14.2585,14.3183,14.2914,14.3672,14.2147,14.3672,14.2364,14.2585,14.4075,14.3344,14.2147,14.3497,14.3672,14.3497,14.3344,14.222,14.222,14.2364,14.2298,14.3758,14.3344,14.359,14.4593,14.2745,14.3196925
